I,f0,Ql,Qi,Qc,phi,delay,npoints
0.7999999999999999,5310532356.029361,784925.9638886158,2854520.848770142,1082621.3115564962,-0.26907272454678566,,901
0.8099999999999999,5396883414.131073,142.74048617215675,515.7031194555384,197.37021197952097,-0.17282443399599454,,901
0.82,5401598386.083782,123.71082727795438,416.485242151802,175.9844140679418,-0.2403859454660055,,901
0.83,5403220920.449586,124.69070720878953,410.70100542303595,179.05159058013396,-0.24053563807262357,,901
0.84,5404170139.885114,124.43655807391053,435.1270284804217,174.27541204655301,-0.22102767493462244,,901
0.8500000000000001,5403036634.802874,136.61889689637235,478.0194923489325,191.2899292196748,-0.11428899897504488,,901
0.8600000000000001,5408321907.688079,126.18988504226981,423.5715114181009,179.7368619723665,-0.21483933889903725,,901
0.8700000000000001,5409739049.919938,131.10479084782637,419.26115833625033,190.7545786802705,-0.22775663318127795,,901
0.8800000000000001,5411085245.898611,124.42508918264735,398.2836713143801,180.95646642706294,-0.25229540194619865,,901
0.8900000000000001,5411714399.557369,124.69644938091086,404.2328117917486,180.3214290941162,-0.20733760416630848,,901
0.9000000000000001,5415751808.356365,119.37698727785803,371.1371271721432,175.98191726209564,-0.2631818571859827,,901
0.9100000000000003,5407586498.723416,140.6972774891136,450.7987519705977,204.53355535895847,0.08408073345088278,,901
0.9199999999999999,5408641586.061949,140.57263716719996,446.24372572941326,205.2194652760983,0.09074672341035736,,901
0.9299999999999999,5409943655.876653,139.90297231343592,441.5789153369468,204.78332527087616,0.10087086209455931,,901
0.94,5422041470.726888,117.01065860521312,376.8889287047641,169.69491813172516,-0.2913982744356522,,901
0.95,5424047296.796452,113.0065488893019,338.31633048951187,169.68620123804075,-0.333324276729763,,901
0.96,5423662046.124655,118.14587968554618,363.4994982737798,175.03702711181427,-0.3068156992680096,,901
0.9700000000000001,5425223165.848933,116.89015749141345,355.8939026934983,174.05791821756736,-0.33942986460474156,,901
0.98,5426086486.620123,124.44825446471309,374.3221784025272,186.4289837670964,-0.3473660526323281,,901
0.9900000000000001,5427650118.2850685,116.47615261293198,332.48776275512495,179.2815458905458,-0.3504044292593886,,901
1.0,5427577687.602148,123.94634671623588,374.48204199113076,185.26574013618335,-0.33503441309522664,,901
1.01,5428120065.751779,118.32407332713748,353.41291473270627,177.87852195608104,-0.30560862035059905,,901
1.0200000000000002,5428981207.334208,118.32749214549983,360.93061241514454,176.0406632781764,-0.30386163100363517,,901
1.03,5417438184.430343,124.54008882763834,358.27499279810183,190.8983154413068,0.0964512540966954,,901
1.0400000000000003,5430285227.7295685,116.50566687648944,341.03125050470095,176.96011574148736,-0.2928736604767075,,901
1.0499999999999996,5430502963.243181,119.40048490430443,341.7735425820378,183.51111028430773,-0.2938286151309424,,901
1.0600000000000003,5431493065.357795,120.86773982937916,356.6812366926073,182.81928512169856,-0.3029111382969004,,901
1.0699999999999996,5431256725.098795,121.2819671661083,353.87603422567423,184.52225418475356,-0.2794674966053187,,901
1.0800000000000003,5431961390.205812,125.26088065763109,382.9818842024744,186.14178678213017,-0.31982327399996274,,901
1.0899999999999999,5432859644.716575,118.44745164008393,343.6706300080731,180.7403244327186,-0.3239636640006021,,901
1.1000000000000003,5431833904.231268,122.2279399477979,370.19068028999084,182.47759392107426,-0.2739498598045973,,901
1.1099999999999999,5434799050.48473,115.40256326248128,341.6757746324731,174.25951555885544,-0.30691615785441784,,901
1.1199999999999999,5436723455.016254,113.65344779697041,329.8958703006241,173.38782390404734,-0.36981017346739026,,901
1.13,5435614235.751125,119.90434331913238,349.8563861847521,182.42629949585606,-0.3193285347108481,,901
1.14,5437449041.554988,119.17594654486129,345.94609209123956,181.8072342773944,-0.35110594004824514,,901
1.15,5437144105.462779,119.67393497109703,354.7744750560025,180.5919180020764,-0.3220748274833694,,901
1.1600000000000001,5437972840.186097,116.72404769906369,339.2644043948077,177.94666598524105,-0.31280558145705967,,901
1.17,5438149946.318969,117.34461233871397,338.6073440019423,179.57722576355968,-0.31787282422536406,,901
1.1800000000000002,5435702667.33991,122.69134700457447,355.33638025620706,187.39578715273424,-0.25128767908820765,,901
1.19,5438556506.7582655,121.14725254579614,349.02820540272546,185.55218246817262,-0.3467279052726246,,901
1.2000000000000002,5426523868.390501,130.43225331992335,391.1746387308865,195.67892458627188,0.10149814885752513,,901
1.21,5441722098.258313,111.8215535822459,314.0195668825429,173.6622197760157,-0.4003047793137441,,901
1.2200000000000002,5442060313.840925,113.93657959646805,315.9352555627099,178.2020709817273,-0.4140444353779496,,901
1.2299999999999998,5440630358.574886,116.96047428838625,328.31647660351985,181.68422187974934,-0.3508864518398148,,901
